feature1,feature2,label,frequency,timestamp
1.0,2.0,5.0,3.0,
2.0,1.0,4.0,2.0,
3.0,3.0,6.5,1.0,
4.0,4.0,7.0,4.0,
1.0,2.0,4.0,1.0,
1.0,2.0,4.0,1.0,
1.0,2.0,4.0,1.4404,
1.0,2.0,4.0,1.4404,
1.0,2.0,4.0,1.4927,
2.0,4.0,5.0,1.0,
2.0,4.0,5.0,1.0,
2.0,4.0,5.0,1.0,
2.0,4.0,5.0,1.5719,
2.0,4.0,6.0,1.0,
2.0,4.0,6.0,1.0,
3.0,5.0,6.0,1.0,
5.0,10.0,15.0,1.0,
5.0,10.0,15.0,1.0,
5.0,10.0,15.0,1.5719,
5.0,10.0,15.0,1.5719,
5.0,10.0,15.0,1.4404,
1.0,2.0,3.0,1.0,
1.0,2.0,3.0,1.0,
1.0,2.0,3.0,1.0,
1.0,2.0,3.0,1.4404,
1.0,2.0,3.0,1.4404,
1.0,2.0,3.0,1.5379,
1.0,2.0,3.0,1.0,
1.0,2.0,3.0,1.0,
1.0,2.0,3.0,1.4927,
1.0,2.0,3.0,0.5,
1.0,2.0,3.0,1.0,
1.0,2.0,3.0,1.4927,
1.0,2.0,3.0,1.0,
1.0,2.0,3.0,1.4404,
1.0,2.0,3.5,1.4927,
1.0,2.0,4.0,0.5,2025-06-03 09:29:05.027750
1.0,2.0,4.2,1.0,
